 ,Label,Area,Mean,Min,Max,X,Y,IntDen,RawIntDen
65,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.456,45.000,42,49,198.031,143.698,20.529,135
66,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.456,47.667,40,58,196.992,144.218,21.745,143
67,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.304,41.500,40,43,199.266,144.478,12.621,83
68,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.608,47.250,43,53,217.399,145.843,28.740,189
69,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.152,40.000,40,40,106.262,146.038,6.083,40
70,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.152,49.000,49,49,214.280,147.597,7.451,49
71,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.152,42.000,42,42,217.009,147.597,6.387,42
72,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.760,51.600,40,67,198.681,148.767,39.232,258
73,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,2.737,56.111,42,83,217.572,150.067,153.584,1010
74,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.152,45.000,45,45,209.210,149.547,6.843,45
75,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.912,52.500,41,69,210.185,150.197,47.900,315
76,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.152,40.000,40,40,213.500,150.717,6.083,40
77,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,8.820,49.603,40,70,204.981,154.791,437.488,2877
78,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.456,44.667,43,47,206.610,152.017,20.377,134
79,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,1.369,48.111,40,58,200.631,152.537,65.844,433
80,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,2.129,71.357,40,127,216.146,153.697,151.912,999
81,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.608,51.750,48,59,191.077,153.642,31.477,207
82,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.152,48.000,48,48,218.959,154.227,7.299,48
83,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.152,51.000,51,51,218.569,155.397,7.755,51
84,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.608,45.000,43,47,214.767,156.274,27.371,180
85,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.152,41.000,41,41,218.179,156.176,6.235,41
86,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.912,44.000,42,48,197.122,158.061,40.145,264
87,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.152,44.000,44,44,194.392,158.906,6.691,44
88,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.152,42.000,42,42,215.449,159.296,6.387,42
89,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.152,42.000,42,42,194.002,160.076,6.387,42
90,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,18.400,63.198,40,120,209.842,165.091,1162.832,7647
91,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.304,52.000,45,59,184.838,163.001,15.815,104
92,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.456,48.333,46,51,214.280,163.975,22.049,145
93,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.456,52.333,47,60,237.157,164.755,23.874,157
94,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.152,40.000,40,40,223.638,167.485,6.083,40
95,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.912,46.333,43,49,224.223,169.110,42.274,278
96,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.304,48.000,41,55,205.506,169.435,14.598,96
97,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.456,44.667,42,48,232.607,169.565,20.377,134
98,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,1.064,44.857,42,48,194.392,170.326,47.748,314
99,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.152,40.000,40,40,209.600,170.995,6.083,40
100,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.152,44.000,44,44,222.469,171.385,6.691,44
101,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.304,41.500,41,42,193.417,172.165,12.621,83
102,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.608,45.750,41,51,210.088,172.554,27.828,183
103,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.152,44.000,44,44,192.052,172.944,6.691,44
104,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.304,47.000,42,52,205.701,173.139,14.294,94
105,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.912,45.000,40,51,205.831,175.219,41.057,270
106,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,2.585,53.529,41,77,210.426,176.064,138.378,910
107,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.152,44.000,44,44,204.531,176.064,6.691,44
108,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,1.977,53.615,40,74,212.990,176.664,105.988,697
109,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.152,40.000,40,40,203.751,176.454,6.083,40
110,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.152,42.000,42,42,214.669,177.234,6.387,42
111,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,3.954,49.231,41,60,210.155,178.509,194.642,1280
112,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.608,48.500,46,52,213.987,178.891,29.500,194
113,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.608,44.000,41,48,209.113,180.743,26.763,176
114,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.152,43.000,43,43,211.550,180.354,6.539,43
115,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.152,47.000,47,47,225.198,180.743,7.147,47
116,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.608,44.000,40,54,192.735,182.108,26.763,176
117,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.152,44.000,44,44,210.770,182.303,6.691,44
118,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.304,47.500,47,48,198.096,182.693,14.446,95
119,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,1.977,45.692,40,52,213.410,183.233,90.326,594
120,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,1.369,49.111,41,70,211.593,183.733,67.212,442
121,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,17.944,56.508,40,122,227.174,186.107,1013.962,6668
122,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.760,46.600,40,55,182.849,184.565,35.431,233
123,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.304,41.500,40,43,186.788,184.448,12.621,83
124,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.760,45.800,40,60,185.891,185.267,34.823,229
125,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.152,43.000,43,43,193.612,186.203,6.539,43
126,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.152,49.000,49,49,184.253,186.593,7.451,49
127,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.912,47.500,41,57,223.443,186.918,43.338,285
128,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.608,44.500,40,48,170.020,187.178,27.067,178
129,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.152,43.000,43,43,183.473,186.983,6.539,43
130,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,3.345,52.227,41,75,186.522,188.011,174.721,1149
131,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.608,47.500,41,51,214.280,187.958,28.892,190
132,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.152,44.000,44,44,183.863,188.153,6.691,44
133,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,2.129,65.929,41,104,224.335,189.378,140.355,923
134,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,4.714,50.387,40,78,230.079,189.964,237.524,1562
135,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.760,53.600,40,64,183.551,189.556,40.753,268
136,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.152,48.000,48,48,238.847,189.322,7.299,48
137,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.304,47.500,40,55,212.135,189.712,14.446,95
138,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.152,49.000,49,49,227.538,190.102,7.451,49
139,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,8.211,52.278,41,81,225.458,193.049,429.276,2823
140,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.152,42.000,42,42,229.098,190.492,6.387,42
141,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.152,40.000,40,40,188.543,191.662,6.083,40
142,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.456,42.333,41,43,232.477,191.792,19.312,127
143,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.608,49.500,45,52,168.850,193.417,30.109,198
144,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.912,50.833,40,72,229.098,193.417,46.379,305
145,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.152,40.000,40,40,167.875,193.612,6.083,40
146,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,2.585,57.647,40,105,231.002,194.277,149.023,980
147,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,0.304,46.000,42,50,271.018,193.612,13.990,92
148,vms20_3a_F3_L1_Dapi-gad1b-chGFP488-vglut2-rbRFP594-syt11b-B3-647_3D_Total HCR Signal.tif,57.176,60.021,40,147,161.166,198.876,3431.776,22568
